sentence_id,text,term,category,polarity
1000:0,Manzara sahane evet ama servis rezalet.,"['servis', 'Manzara']","['SERVICE#GENERAL', 'AMBIENCE#GENERAL']","['negative', 'positive']"
1000:1,"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.","['mezenin', 'garson']","['FOOD#STYLE_OPTIONS', 'SERVICE#GENERAL']","['negative', 'negative']"
1000:2,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.","['lezzetler', 'Yemekler', 'NULL']","['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY']","['positive', 'positive', 'neutral']"
1000:3,bu servise bu fiyatlar ise cok faZla.,['fiyatlar'],['RESTAURANT#PRICES'],['negative']
1000:4,Lacivert beni kalitesinin dusukluguyle cok sasirtti,['kalitesinin'],['RESTAURANT#GENERAL'],['negative']
1001:0,Nerden baslasam bilemedim.,['kalitesinin'],['RESTAURANT#GENERAL'],['negative']
1001:1,Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,['balik'],['FOOD#QUALITY'],['negative']
1001:2,Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,['balik geldi'],['SERVICE#GENERAL'],['negative']
1001:3,ayrica gelen kalamar soguk ve sünger gibiydi.,['kalamar'],['FOOD#QUALITY'],['negative']
1001:4,uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.,['NULL'],['RESTAURANT#GENERAL'],['negative']
1001:5,Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,['kalitesi'],['RESTAURANT#GENERAL'],['negative']
1002:0,Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,['ev yemegi'],['FOOD#QUALITY'],['negative']
1002:1,Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,['ev yemeginin'],['FOOD#QUALITY'],['negative']
1002:2,Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.,['NULL'],['RESTAURANT#GENERAL'],['negative']
1002:3,1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,"['fiyatlarinin', 'yemeklerinin']","['RESTAURANT#PRICES', 'FOOD#QUALITY']","['negative', 'negative']"
1003:0,"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",['kasap reyonu'],['AMBIENCE#GENERAL'],['negative']
1003:1,garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,['garsonumuz'],['SERVICE#GENERAL'],['negative']
1003:2,lokumun daha iyisini yedim küşleme güzeldi.,"['küşleme', 'lokumun']","['FOOD#QUALITY', 'FOOD#QUALITY']","['positive', 'neutral']"
1003:3,şazeli salata yani...,"['küşleme', 'lokumun']","['FOOD#QUALITY', 'FOOD#QUALITY']","['positive', 'neutral']"
1003:4,bilemedim mekana daha sonra belki bir şans daha verebilirim.,['mekana'],['RESTAURANT#GENERAL'],['neutral']
1004:0,2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,['çayı'],['DRINKS#PRICES'],['negative']
1004:1,) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,"['çay', 'NULL']","['DRINKS#PRICES', 'RESTAURANT#GENERAL']","['negative', 'positive']"
1005:0,Şatobiryanı öneririm.,['Şatobiryanı'],['FOOD#QUALITY'],['positive']
1005:1,Sosu tereyagli ve yumusak .,['Sosu'],['FOOD#QUALITY'],['positive']
1005:2,Sert et sevmeyenler icin cok lezzetliydi.,['et'],['FOOD#QUALITY'],['positive']
1005:3,Guvecte yogurt ve salatayla iyi bir uclu oldu.,['Guvecte yogurt ve salatayla'],['FOOD#QUALITY'],['positive']
1005:4,Servisi hizli valesi var.,['Servisi'],['SERVICE#GENERAL'],['positive']
1005:5,Acik mekanda ise gardenya bolumu guzel.,['gardenya bolumu'],['AMBIENCE#GENERAL'],['positive']
1005:6,Kalabalik icin ideal.,['NULL'],['RESTAURANT#GENERAL'],['positive']
1005:7,Yaninda cafe ve nargile bolumu var.,['NULL'],['RESTAURANT#GENERAL'],['positive']
1006:0,"Cok fazla cesit var,insanin kafasi karışıyor dogrusu.",['NULL'],['RESTAURANT#GENERAL'],['positive']
1006:1,Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,['bourbon vanilla'],['FOOD#QUALITY'],['neutral']
1006:2,Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,['beyaz caylarini'],['DRINKS#QUALITY'],['positive']
1006:3,"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.","['Ortam', 'oturma köşeleri']","['AMBIENCE#GENERAL', 'AMBIENCE#GENERAL']","['positive', 'positive']"
1007:0,Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.,['gitmenizi'],['RESTAURANT#GENERAL'],['negative']
1007:1,Lezzet değişiyor...,['gitmenizi'],['RESTAURANT#GENERAL'],['negative']
1007:2,Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,['Pendik merkez ana şubesi'],['RESTAURANT#GENERAL'],['positive']
